rotation	id	translation	layers	rA	rB	vertices	edges	cross_edges	status	seconds
w[11]^2	w_11^2_00b9e2836230	((Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(1, 18)), (Fraction(0, 1), Fraction(-5, 18), Fraction(0, 1), Fraction(0, 1)))	3	1.6	1.6	2858	17308	740	SAT	0.865
w[11]~	w_11~_a3b68b9e66c5	((Fraction(5, 12), Fraction(0, 1), Fraction(0, 1), Fraction(-1, 12)), (Fraction(0, 1), Fraction(1, 4), Fraction(-1, 12), Fraction(0, 1)))	3	1.6	1.6	2720	16842	3486	SAT	0.804
w[11]	w_11_dbf1c7af8cef	((Fraction(-11, 12), Fraction(0, 1), Fraction(0, 1), Fraction(1, 12)), (Fraction(0, 1), Fraction(1, 12), Fraction(-1, 12), Fraction(0, 1)))	3	1.6	1.6	2724	16926	3674	SAT	0.846
w[11]^2	w_11^2_8ce10cf4ea63	((Fraction(-5, 12), Fraction(0, 1), Fraction(0, 1), Fraction(-7, 108)), (Fraction(0, 1), Fraction(-1, 108), Fraction(-1, 12), Fraction(0, 1)))	3	1.6	1.6	2865	17318	598	SAT	0.839
w[11]~	w_11~_56c291d5b851	((Fraction(-1, 12), Fraction(0, 1), Fraction(0, 1), Fraction(1, 36)), (Fraction(0, 1), Fraction(-13, 36), Fraction(-1, 12), Fraction(0, 1)))	3	1.6	1.6	2754	17292	3474	SAT	0.868
w[11]	w_11_302038f51808	((Fraction(-1, 4), Fraction(0, 1), Fraction(0, 1), Fraction(1, 12)), (Fraction(0, 1), Fraction(1, 12), Fraction(1, 4), Fraction(0, 1)))	3	1.6	1.6	2758	17359	3644	SAT	0.920
w[11]^2	w_11^2_29684a31497f	((Fraction(5, 36), Fraction(0, 1), Fraction(0, 1), Fraction(1, 36)), (Fraction(0, 1), Fraction(7, 36), Fraction(1, 36), Fraction(0, 1)))	3	1.6	1.6	2862	17310	576	SAT	0.915
w[11]~	w_11~_f9d4c23eb7ed	((Fraction(13, 12), Fraction(0, 1), Fraction(0, 1), Fraction(-1, 12)), (Fraction(0, 1), Fraction(1, 12), Fraction(1, 12), Fraction(0, 1)))	3	1.6	1.6	2754	17225	3450	SAT	0.833
w[11]	w_11_ebd1cb8165f9	((Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(1, 6)), (Fraction(0, 1), Fraction(1, 6), Fraction(0, 1), Fraction(0, 1)))	3	1.6	1.6	2758	17359	3644	SAT	0.860
w[165]	w_165_edbe44c67c7b	((Fraction(191, 332), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(-29, 332), Fraction(0, 1), Fraction(0, 1)), (Fraction(0, 1), Fraction(91, 996), Fraction(0, 1), Fraction(0, 1), Fraction(245, 996), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1)))	3	1.6	1.6	2881	8622	33	SAT	0.719
w[11]^2	w_11^2_ac38d2a90b1a	((Fraction(-17, 36), Fraction(0, 1), Fraction(0, 1), Fraction(1, 36)), (Fraction(0, 1), Fraction(-5, 36), Fraction(11, 36), Fraction(0, 1)))	3	1.6	1.6	2867	17342	570	SAT	0.922
