[125/325] {'graphs': 125, 'dags': 807450060, 'profile_dags': 689273280, 'ss_skip': 445428580, 'packed_cegar': 243844700, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=56236s
[126/325] {'graphs': 126, 'dags': 813272988, 'profile_dags': 694311876, 'ss_skip': 448498302, 'packed_cegar': 245813574, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=56679s
[127/325] {'graphs': 127, 'dags': 819051208, 'profile_dags': 699323308, 'ss_skip': 451495564, 'packed_cegar': 247827744, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=57144s
[128/325] {'graphs': 128, 'dags': 826375356, 'profile_dags': 705451152, 'ss_skip': 456041488, 'packed_cegar': 249409664, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=57473s
[129/325] {'graphs': 129, 'dags': 833196368, 'profile_dags': 711237236, 'ss_skip': 460026060, 'packed_cegar': 251211176, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=57855s
[130/325] {'graphs': 130, 'dags': 840401900, 'profile_dags': 717289280, 'ss_skip': 464402320, 'packed_cegar': 252886960, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=58198s
[131/325] {'graphs': 131, 'dags': 846584404, 'profile_dags': 722582560, 'ss_skip': 467944756, 'packed_cegar': 254637804, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=58555s
[132/325] {'graphs': 132, 'dags': 852297172, 'profile_dags': 727568584, 'ss_skip': 470693796, 'packed_cegar': 256874788, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=59022s
[133/325] {'graphs': 133, 'dags': 858516148, 'profile_dags': 732975928, 'ss_skip': 473502320, 'packed_cegar': 259473608, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=59547s
[134/325] {'graphs': 134, 'dags': 864551460, 'profile_dags': 738242304, 'ss_skip': 476192858, 'packed_cegar': 262049446, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=60112s
[135/325] {'graphs': 135, 'dags': 870773008, 'profile_dags': 743566168, 'ss_skip': 479723724, 'packed_cegar': 263842444, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=60505s
[136/325] {'graphs': 136, 'dags': 876892824, 'profile_dags': 748822836, 'ss_skip': 483067606, 'packed_cegar': 265755230, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=60907s
[137/325] {'graphs': 137, 'dags': 882079620, 'profile_dags': 753363300, 'ss_skip': 485643568, 'packed_cegar': 267719732, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=61338s
