[dagrand seed=22] checked=1080000 bytau=[(2, 282487), (3, 202388), (4, 154217), (5, 102567), (6, 81363), (7, 64694), (8, 50637), (9, 39250), (10, 30697), (11, 23365), (12, 17206), (13, 12194), (14, 7974), (15, 5058), (16, 2956), (17, 1576), (18, 830), (19, 322), (20, 160), (21, 42), (22, 11), (23, 4), (24, 2)] t=2500s
[dagrand seed=22] checked=1100000 bytau=[(2, 287616), (3, 206089), (4, 157109), (5, 104461), (6, 82853), (7, 65918), (8, 51563), (9, 40049), (10, 31267), (11, 23818), (12, 17512), (13, 12435), (14, 8138), (15, 5155), (16, 3017), (17, 1601), (18, 847), (19, 328), (20, 164), (21, 43), (22, 11), (23, 4), (24, 2)] t=2565s
[dagrand seed=22] checked=1120000 bytau=[(2, 292864), (3, 209812), (4, 159986), (5, 106427), (6, 84331), (7, 67123), (8, 52488), (9, 40768), (10, 31798), (11, 24240), (12, 17822), (13, 12689), (14, 8287), (15, 5252), (16, 3068), (17, 1628), (18, 859), (19, 329), (20, 168), (21, 44), (22, 11), (23, 4), (24, 2)] t=2625s
[dagrand seed=22] checked=1140000 bytau=[(2, 298127), (3, 213444), (4, 162826), (5, 108369), (6, 85855), (7, 68317), (8, 53410), (9, 41508), (10, 32393), (11, 24674), (12, 18149), (13, 12896), (14, 8477), (15, 5340), (16, 3122), (17, 1650), (18, 869), (19, 340), (20, 171), (21, 45), (22, 12), (23, 4), (24, 2)] t=2694s
[dagrand seed=22] checked=1160000 bytau=[(2, 303542), (3, 217183), (4, 165602), (5, 110238), (6, 87336), (7, 69469), (8, 54341), (9, 42247), (10, 32951), (11, 25082), (12, 18481), (13, 13129), (14, 8636), (15, 5433), (16, 3186), (17, 1678), (18, 884), (19, 345), (20, 174), (21, 45), (22, 12), (23, 4), (24, 2)] t=2755s
[dagrand seed=22] checked=1180000 bytau=[(2, 308886), (3, 220834), (4, 168412), (5, 112180), (6, 88889), (7, 70604), (8, 55272), (9, 42940), (10, 33532), (11, 25544), (12, 18790), (13, 13346), (14, 8793), (15, 5537), (16, 3252), (17, 1702), (18, 896), (19, 350), (20, 175), (21, 48), (22, 12), (23, 4), (24, 2)] t=2808s
[dagrand seed=22] checked=1200000 bytau=[(2, 314206), (3, 224545), (4, 171239), (5, 114050), (6, 90395), (7, 71756), (8, 56256), (9, 43668), (10, 34068), (11, 26039), (12, 19097), (13, 13558), (14, 8947), (15, 5629), (16, 3308), (17, 1731), (18, 912), (19, 352), (20, 178), (21, 48), (22, 12), (23, 4), (24, 2)] t=2879s
[dagrand seed=22] checked=1220000 bytau=[(2, 319536), (3, 228263), (4, 174058), (5, 115854), (6, 91938), (7, 72955), (8, 57195), (9, 44425), (10, 34644), (11, 26464), (12, 19435), (13, 13792), (14, 9065), (15, 5726), (16, 3359), (17, 1756), (18, 928), (19, 359), (20, 182), (21, 48), (22, 12), (23, 4), (24, 2)] t=2938s
[dagrand seed=22] checked=1240000 bytau=[(2, 324782), (3, 232060), (4, 176861), (5, 117659), (6, 93429), (7, 74151), (8, 58135), (9, 45154), (10, 35268), (11, 26915), (12, 19754), (13, 14026), (14, 9231), (15, 5811), (16, 3419), (17, 1783), (18, 943), (19, 365), (20, 187), (21, 48), (22, 12), (23, 5), (24, 2)] t=3012s
[dagrand seed=22] checked=1260000 bytau=[(2, 330006), (3, 235866), (4, 179733), (5, 119617), (6, 94916), (7, 75339), (8, 59046), (9, 45859), (10, 35832), (11, 27358), (12, 20035), (13, 14259), (14, 9363), (15, 5906), (16, 3472), (17, 1804), (18, 962), (19, 371), (20, 189), (21, 48), (22, 12), (23, 5), (24, 2)] t=3080s
