g6	n	Delta	delta	maxm	minm	alo	ahi	nok	interval	L
GQhVv{	8	7	3	5.25	4.142857142857143	0.24	1.0	153	1	11.8106031356027
GQhV~w	8	6	4	5.0	4.0	0.0	1.0	201	1	10.082903768654761
GQhV~{	8	7	4	5.5	4.428571428571429	0.24	1.0	153	1	12.558592281537436
GQjdvo	8	5	3	4.75	3.6666666666666665	0.29	0.9500000000000001	133	1	9.508725083591248
GQjdvg	8	5	3	4.666666666666667	4.0	0.29	0.86	115	1	9.508725083591248
GQjdvW	8	5	2	4.75	3.5	0.28	0.98	141	1	9.651500150000295
GQjdts	8	5	2	5.0	3.0	0.28	0.96	137	1	9.651500150000295
GQjdtk	8	5	2	5.0	3.5	0.28	0.745	94	1	9.651500150000295
GQjdq{	8	5	3	4.5	3.8	0.31	0.995	138	1	9.260712686640941
GQjdvw	8	6	3	5.0	4.0	0.245	1.0	152	1	10.377711293165211
GQjdvs	8	6	3	5.25	4.0	0.24	0.89	131	1	10.440802585594179
GQjdvk	8	6	3	5.0	4.166666666666667	0.24	0.89	131	1	10.440802585594179
GQjdv[	8	6	2	5.25	4.0	0.225	0.725	101	1	10.570020739441215
GQjdu{	8	6	3	5.0	4.0	0.245	1.0	152	1	10.377711293165211
GQjdt{	8	6	2	5.25	3.5	0.225	0.89	134	1	10.570020739441215
GQjdv{	8	7	3	5.5	4.142857142857143	0.165	0.875	143	1	11.526279441628825
GQjfLk	8	5	2	5.0	4.0	0.27	0.56	59	1	9.779571911772187
GQjfK{	8	5	2	4.666666666666667	4.0	0.28	0.66	77	1	9.651500150000295
GQjfNw	8	6	2	5.333333333333333	4.0	0.23	0.525	60	1	10.453079051715148
GQjfNk	8	6	2	5.0	4.333333333333333	0.21	0.495	58	1	10.635475005547093
GQjfM{	8	6	2	5.0	4.0	0.23	0.525	60	1	10.453079051715148
GQjfL{	8	6	2	5.333333333333333	4.0	0.23	0.52	59	1	10.51283745216534
GQjfN{	8	7	2	5.666666666666667	4.142857142857143	0.15	0.46	63	1	11.594850810695844
GQjdmk	8	5	2	4.5	4.2	0.28	0.59	63	1	9.651500150000295
GQjdm[	8	5	2	4.666666666666667	4.0	0.28	0.615	68	1	9.651500150000295
GQjdnw	8	6	3	5.333333333333333	4.0	0.245	0.85	122	1	10.377711293165211
GQjdnk	8	6	2	5.0	4.333333333333333	0.225	0.645	85	1	10.570020739441215
GQjdn[	8	6	2	5.333333333333333	4.0	0.225	0.685	93	1	10.570020739441215
GQjdm{	8	6	3	5.0	4.0	0.245	0.91	134	1	10.377711293165211
GQjdn{	8	7	3	5.666666666666667	4.142857142857143	0.165	0.77	122	1	11.526279441628825
GQjfvw	8	6	3	5.25	4.166666666666667	0.23	0.855	126	1	10.51283745216534
GQjfvs	8	6	3	5.5	4.5	0.255	0.84	118	1	11.16515138991168
GQjfv[	8	6	2	5.5	4.333333333333333	0.255	0.5750000000000001	65	1	11.16515138991168
GQjfv{	8	7	3	5.75	4.428571428571429	0.23	0.77	109	1	12.005757504860554
GQjfnw	8	6	3	5.333333333333333	4.166666666666667	0.215	0.8200000000000001	122	1	10.581163303210332
GQjfns	8	6	3	5.333333333333333	4.333333333333333	0.255	0.8200000000000001	114	1	11.09903581871116
GQjfnk	8	6	2	5.333333333333333	4.666666666666667	0.245	0.705	93	1	11.289010404005062
GQjfn[	8	6	2	5.333333333333333	4.5	0.25	0.555	62	1	11.228414618104042
GQjfm{	8	6	3	5.333333333333333	4.333333333333333	0.255	0.8200000000000001	114	1	11.09903581871116
GQjfn{	8	7	3	5.666666666666667	4.428571428571429	0.225	0.79	114	1	12.071977466074912
GQjf^w	8	6	2	5.25	4.166666666666667	0.215	0.515	61	1	10.581163303210332
GQjf^{	8	7	2	5.75	4.428571428571429	0.22	0.49	55	1	12.13544635066817
GQje~w	8	6	3	5.0	4.166666666666667	0.23	0.855	126	1	10.51283745216534
GQje~s	8	6	3	5.333333333333333	4.333333333333333	0.26	0.89	127	1	11.029864978971808
GQje~[	8	6	2	5.25	4.333333333333333	0.255	0.5750000000000001	65	1	11.16515138991168
GQje}{	8	6	3	5.333333333333333	4.5	0.255	0.84	118	1	11.16515138991168
GQjez{	8	6	3	5.333333333333333	4.333333333333333	0.26	0.89	127	1	11.029864978971808
GQje~{	8	7	3	5.666666666666667	4.428571428571429	0.23	0.77	109	1	12.005757504860554
GQjd~w	8	6	3	5.25	4.166666666666667	0.215	0.935	145	1	10.581163303210332
GQjd~s	8	6	3	5.5	4.333333333333333	0.255	0.87	124	1	11.09903581871116
GQjd~k	8	6	3	5.333333333333333	4.5	0.255	0.84	118	1	11.16515138991168
GQjd~[	8	6	2	5.5	4.333333333333333	0.25	0.5700000000000001	65	1	11.228414618104042
GQjd}{	8	6	3	5.25	4.333333333333333	0.255	0.87	124	1	11.09903581871116
GQjd|{	8	6	2	5.5	4.0	0.245	0.74	100	1	11.289010404005062
GQjd~{	8	7	3	5.75	4.428571428571429	0.225	0.8300000000000001	122	1	12.071977466074912
GQjf~w	8	6	3	5.5	4.333333333333333	0.195	0.765	115	1	10.697720945762152
GQjf~{	8	7	3	6.0	4.714285714285714	0.225	0.8250000000000001	121	1	12.80964776708681
GQjRf_	8	4	2	4.0	3.25	0.35000000000000003	0.77	85	1	7.819507424745385
GQjRfO	8	4	3	4.0	3.25	0.365	0.735	75	1	7.717486788127612
GQjReo	8	4	3	4.0	3.25	0.365	0.96	120	1	7.717486788127612
GQjRfG	8	4	2	4.0	3.25	0.34	0.6950000000000001	72	1	7.913352850581798
GQjReg	8	4	2	4.0	3.0	0.0	0.91	183	1	8.0
GQjRbg	8	4	2	4.0	3.0	0.34	0.92	117	1	7.913352850581798
GQjReW	8	4	3	3.75	3.3333333333333335	0.355	1.0	130	1	7.819507424745385
GQjRdW	8	4	3	4.0	3.3333333333333335	0.355	0.835	97	1	7.819507424745385
GQjRbW	8	4	3	3.75	3.25	0.365	0.96	120	1	7.717486788127612
GQjRaw	8	4	3	3.75	3.0	0.355	1.0	130	1	7.819507424745385
GQjReK	8	4	2	4.0	3.25	0.34	0.88	109	1	7.913352850581798
GQjRdK	8	4	2	4.0	3.5	0.35000000000000003	0.665	64	1	7.819507424745385
GQjRak	8	4	2	4.0	3.0	0.0	1.0	201	1	8.0
GQjRc[	8	4	3	3.75	3.25	0.365	0.96	120	1	7.717486788127612
GQjRa[	8	4	3	4.0	3.3333333333333335	0.355	0.835	97	1	7.819507424745385
GQjRfo	8	5	3	4.333333333333333	3.75	0.295	0.6900000000000001	80	1	8.604233039478173
GQjRfg	8	5	2	4.25	3.5	0.20500000000000002	0.86	132	1	8.871107713616576
GQjRfW	8	5	3	4.333333333333333	3.6666666666666665	0.265	0.79	106	1	8.706292490963914
GQjRew	8	5	3	4.25	3.3333333333333335	0.225	1.0	156	1	8.80062108964828
GQjRbw	8	5	3	4.0	3.5	0.265	0.97	142	1	8.706292490963914
GQjRfK	8	5	2	4.0	3.75	0.255	0.835	117	1	8.782329983125269
GQjRek	8	5	2	4.25	3.3333333333333335	0.20500000000000002	1.0	160	1	8.871107713616576
GQjRe[	8	5	3	4.0	3.6666666666666665	0.265	0.97	142	1	8.706292490963914
