[n=13 it=6 t=0s] min-decomp=5 (bound 6) m=50
[n=13 it=57400 t=4298s] cur=5 best=5 m=45 cache=40505
[n=13 it=57600 t=4318s] cur=5 best=5 m=47 cache=40644
[n=13 it=57800 t=4338s] cur=4 best=5 m=44 cache=40778
[n=13 it=58000 t=4362s] cur=5 best=5 m=52 cache=40931
[n=13 it=58200 t=4383s] cur=5 best=5 m=47 cache=41075
[n=13 it=58400 t=4409s] cur=5 best=5 m=45 cache=41230
[n=13 it=58600 t=4430s] cur=5 best=5 m=49 cache=41374
[n=13 it=59200 t=4497s] cur=5 best=5 m=44 cache=41816
[n=13 it=59600 t=4543s] cur=5 best=5 m=46 cache=42104
[n=13 it=59800 t=4562s] cur=5 best=5 m=49 cache=42248
[n=13 it=60000 t=4585s] cur=5 best=5 m=50 cache=42392
[n=13 it=60200 t=4607s] cur=5 best=5 m=51 cache=42532
[n=13 it=60400 t=4629s] cur=5 best=5 m=47 cache=42676
[n=13 it=60600 t=4649s] cur=5 best=5 m=48 cache=42819
[n=13 it=61200 t=4711s] cur=5 best=5 m=47 cache=43229
[n=13 it=61400 t=4729s] cur=5 best=5 m=49 cache=43365
[n=13 it=61800 t=4771s] cur=5 best=5 m=49 cache=43659
[n=13 it=62200 t=4810s] cur=4 best=5 m=43 cache=43957
[n=13 it=62400 t=4826s] cur=5 best=5 m=48 cache=44104
[n=13 it=62600 t=4841s] cur=5 best=5 m=51 cache=44246
[n=13 it=62800 t=4855s] cur=5 best=5 m=49 cache=44387
[n=13 it=63000 t=4870s] cur=5 best=5 m=48 cache=44537
[n=13 it=63200 t=4884s] cur=5 best=5 m=52 cache=44678
[n=13 it=63400 t=4897s] cur=5 best=5 m=50 cache=44815
[n=13 it=63800 t=4922s] cur=5 best=5 m=46 cache=45083
[n=13 it=64400 t=4963s] cur=5 best=5 m=54 cache=45503
[n=13 it=64600 t=4976s] cur=5 best=5 m=42 cache=45637
[n=13 it=64800 t=4991s] cur=5 best=5 m=49 cache=45792
[n=13 it=65000 t=5004s] cur=5 best=5 m=48 cache=45931
[n=13 it=65600 t=5039s] cur=5 best=5 m=45 cache=46358
[n=13 it=65800 t=5051s] cur=5 best=5 m=48 cache=46499
[n=13 it=66200 t=5074s] cur=5 best=5 m=46 cache=46780
[n=13 it=66400 t=5085s] cur=5 best=5 m=45 cache=46925
[n=13 it=66800 t=5106s] cur=5 best=5 m=51 cache=47189
[n=13 it=67200 t=5130s] cur=5 best=5 m=47 cache=47475
[n=13 it=67400 t=5141s] cur=5 best=5 m=51 cache=47626
[n=13 it=67600 t=5152s] cur=5 best=5 m=50 cache=47775
[n=13 it=67800 t=5162s] cur=5 best=5 m=46 cache=47909
[n=13 it=68000 t=5172s] cur=5 best=5 m=48 cache=48053
[n=13 it=68200 t=5181s] cur=5 best=5 m=50 cache=48197
[n=13 it=68600 t=5201s] cur=5 best=5 m=49 cache=48484
[n=13 it=68800 t=5212s] cur=4 best=5 m=48 cache=48627
[n=13 it=69000 t=5224s] cur=5 best=5 m=45 cache=48789
[n=13 it=69200 t=5235s] cur=5 best=5 m=44 cache=48933
[n=13 it=69400 t=5244s] cur=5 best=5 m=44 cache=49077
[n=13 it=69600 t=5254s] cur=5 best=5 m=48 cache=49221
[n=13 it=69800 t=5266s] cur=5 best=5 m=48 cache=49378
[n=13 it=70000 t=5276s] cur=5 best=5 m=50 cache=49520
[n=13 it=70200 t=5286s] cur=5 best=5 m=48 cache=49665
[n=13 it=70400 t=5295s] cur=5 best=5 m=47 cache=49803
[n=13 it=70600 t=5305s] cur=5 best=5 m=45 cache=49940
[n=13 it=71200 t=5335s] cur=5 best=5 m=46 cache=50371
[n=13 it=71600 t=5358s] cur=5 best=5 m=48 cache=50660
[n=13 it=71800 t=5368s] cur=5 best=5 m=50 cache=50805
[n=13 it=72000 t=5378s] cur=5 best=5 m=45 cache=50948
[n=13 it=72200 t=5388s] cur=5 best=5 m=45 cache=51090
[n=13 it=72400 t=5397s] cur=5 best=5 m=47 cache=51220
