[n=13 it=1 t=0s] min-decomp=5 (bound 6) m=53
[n=13 it=81000 t=5214s] cur=5 best=5 m=44 cache=57641
[n=13 it=81200 t=5225s] cur=5 best=5 m=52 cache=57793
[n=13 it=81400 t=5234s] cur=5 best=5 m=48 cache=57929
[n=13 it=81600 t=5244s] cur=5 best=5 m=49 cache=58070
[n=13 it=81800 t=5254s] cur=5 best=5 m=49 cache=58230
[n=13 it=82000 t=5265s] cur=5 best=5 m=49 cache=58373
[n=13 it=82200 t=5276s] cur=5 best=5 m=51 cache=58520
[n=13 it=82400 t=5286s] cur=5 best=5 m=46 cache=58665
[n=13 it=82800 t=5304s] cur=5 best=5 m=46 cache=58949
[n=13 it=83200 t=5324s] cur=5 best=5 m=45 cache=59225
[n=13 it=83400 t=5334s] cur=5 best=5 m=47 cache=59368
[n=13 it=83600 t=5342s] cur=5 best=5 m=50 cache=59506
[n=13 it=84000 t=5364s] cur=5 best=5 m=49 cache=59798
[n=13 it=84200 t=5374s] cur=5 best=5 m=45 cache=59936
[n=13 it=84600 t=5392s] cur=5 best=5 m=49 cache=60210
[n=13] done: 84785 its, best min-decomp 5 vs bound 6
