it=71400 cur=1 best=1 T=0.81 elapsed=39s
it=71600 cur=1 best=1 T=0.81 elapsed=39s
it=71800 cur=1 best=1 T=0.80 elapsed=39s
it=72000 cur=1 best=1 T=0.80 elapsed=39s
it=72200 cur=1 best=1 T=0.80 elapsed=40s
it=72400 cur=1 best=1 T=0.79 elapsed=40s
it=72600 cur=1 best=1 T=0.79 elapsed=40s
it=72800 cur=1 best=1 T=0.79 elapsed=40s
it=73000 cur=1 best=1 T=0.78 elapsed=40s
it=73200 cur=1 best=1 T=0.78 elapsed=40s
it=73400 cur=1 best=1 T=0.78 elapsed=40s
it=73600 cur=1 best=1 T=0.77 elapsed=40s
it=73800 cur=1 best=1 T=0.77 elapsed=40s
it=74000 cur=1 best=1 T=0.77 elapsed=41s
it=74200 cur=1 best=1 T=0.76 elapsed=41s
it=74400 cur=1 best=1 T=0.76 elapsed=41s
it=74600 cur=1 best=1 T=0.76 elapsed=41s
it=74800 cur=1 best=1 T=0.75 elapsed=41s
it=75000 cur=1 best=1 T=0.75 elapsed=41s
it=75200 cur=1 best=1 T=0.75 elapsed=41s
it=75400 cur=1 best=1 T=0.74 elapsed=41s
it=75600 cur=1 best=1 T=0.74 elapsed=41s
it=75800 cur=1 best=1 T=0.74 elapsed=41s
it=76000 cur=1 best=1 T=0.73 elapsed=41s
it=76200 cur=1 best=1 T=0.73 elapsed=42s
it=76400 cur=1 best=1 T=0.73 elapsed=42s
it=76600 cur=1 best=1 T=0.72 elapsed=42s
it=76800 cur=1 best=1 T=0.72 elapsed=42s
it=77000 cur=1 best=1 T=0.72 elapsed=42s
it=77200 cur=1 best=1 T=0.71 elapsed=42s
it=77400 cur=1 best=1 T=0.71 elapsed=42s
it=77600 cur=1 best=1 T=0.71 elapsed=42s
it=77800 cur=1 best=1 T=0.70 elapsed=43s
it=78000 cur=1 best=1 T=0.70 elapsed=43s
it=78200 cur=1 best=1 T=0.70 elapsed=43s
it=78400 cur=1 best=1 T=0.69 elapsed=43s
it=78600 cur=1 best=1 T=0.69 elapsed=43s
it=78800 cur=1 best=1 T=0.69 elapsed=43s
it=79000 cur=1 best=1 T=0.68 elapsed=43s
it=79200 cur=1 best=1 T=0.68 elapsed=43s
it=79400 cur=1 best=1 T=0.68 elapsed=44s
it=79600 cur=1 best=1 T=0.67 elapsed=44s
it=79800 cur=1 best=1 T=0.67 elapsed=44s
it=80000 cur=1 best=1 T=0.67 elapsed=44s
it=80200 cur=1 best=1 T=0.66 elapsed=44s
it=80400 cur=1 best=1 T=0.66 elapsed=44s
it=80600 cur=1 best=1 T=0.66 elapsed=44s
it=80800 cur=1 best=1 T=0.65 elapsed=44s
it=81000 cur=1 best=1 T=0.65 elapsed=44s
it=81200 cur=1 best=1 T=0.65 elapsed=44s
it=81400 cur=1 best=1 T=0.64 elapsed=45s
it=81600 cur=1 best=1 T=0.64 elapsed=45s
it=81800 cur=1 best=1 T=0.64 elapsed=45s
it=82000 cur=1 best=1 T=0.63 elapsed=45s
it=82200 cur=1 best=1 T=0.63 elapsed=45s
it=82400 cur=1 best=1 T=0.63 elapsed=45s
it=82600 cur=1 best=1 T=0.62 elapsed=45s
it=82800 cur=1 best=1 T=0.62 elapsed=45s
it=83000 cur=1 best=1 T=0.62 elapsed=45s
it=83200 cur=1 best=1 T=0.61 elapsed=45s
it=83400 cur=1 best=1 T=0.61 elapsed=45s
it=83600 cur=1 best=1 T=0.61 elapsed=46s
it=83800 cur=1 best=1 T=0.60 elapsed=46s
it=84000 cur=1 best=1 T=0.60 elapsed=46s
