nohup: ignoring input
n=11 cnt=1595000 elapsed=9386s
n=11 cnt=1600000 elapsed=9408s
n=11 cnt=1605000 elapsed=9430s
n=11 cnt=1610000 elapsed=9454s
n=11 cnt=1615000 elapsed=9476s
n=11 cnt=1620000 elapsed=9498s
n=11 cnt=1625000 elapsed=9521s
n=11 cnt=1630000 elapsed=9544s
n=11 cnt=1635000 elapsed=9567s
n=11 cnt=1640000 elapsed=9589s
n=11 cnt=1645000 elapsed=9612s
n=11 cnt=1650000 elapsed=9637s
n=11 cnt=1655000 elapsed=9662s
n=11 cnt=1660000 elapsed=9686s
n=11 cnt=1665000 elapsed=9712s
n=11 cnt=1670000 elapsed=9738s
n=11 cnt=1675000 elapsed=9764s
n=11 cnt=1680000 elapsed=9790s
n=11 cnt=1685000 elapsed=9815s
n=11 cnt=1690000 elapsed=9838s
n=11 cnt=1695000 elapsed=9863s
n=11 cnt=1700000 elapsed=9888s
n=11 cnt=1705000 elapsed=9912s
n=11 cnt=1710000 elapsed=9938s
n=11 cnt=1715000 elapsed=9964s
n=11 cnt=1720000 elapsed=9989s
n=11 cnt=1725000 elapsed=10015s
n=11 cnt=1730000 elapsed=10041s
n=11 cnt=1735000 elapsed=10065s
n=11 cnt=1740000 elapsed=10089s
n=11 cnt=1745000 elapsed=10114s
n=11 cnt=1750000 elapsed=10139s
n=11 cnt=1755000 elapsed=10164s
n=11 cnt=1760000 elapsed=10189s
n=11 cnt=1765000 elapsed=10216s
n=11 cnt=1770000 elapsed=10242s
n=11 cnt=1775000 elapsed=10267s
n=11 cnt=1780000 elapsed=10291s
n=11 cnt=1785000 elapsed=10313s
n=11 cnt=1790000 elapsed=10335s
n=11 cnt=1795000 elapsed=10356s
n=11 cnt=1800000 elapsed=10378s
n=11 cnt=1805000 elapsed=10401s
n=11 cnt=1810000 elapsed=10423s
n=11 cnt=1815000 elapsed=10445s
n=11 cnt=1820000 elapsed=10468s
n=11 cnt=1825000 elapsed=10493s
n=11 cnt=1830000 elapsed=10517s
n=11 cnt=1835000 elapsed=10540s
n=11 cnt=1840000 elapsed=10564s
n=11 cnt=1845000 elapsed=10586s
n=11 cnt=1850000 elapsed=10609s
n=11 cnt=1855000 elapsed=10631s
n=11 cnt=1860000 elapsed=10654s
n=11 cnt=1865000 elapsed=10677s
n=11 cnt=1870000 elapsed=10700s
n=11 cnt=1875000 elapsed=10722s
n=11 cnt=1880000 elapsed=10744s
n=11 cnt=1885000 elapsed=10767s
n=11 cnt=1890000 elapsed=10790s
n=11 cnt=1895000 elapsed=10813s
