[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 64, 'ilp_tested': 4310, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 14200, 'dup': 2, 'tau1': 9806, 'tau2': 4155, 'tau3': 214, 'disconnected': 20, 'tau4': 5} t=8648s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 65, 'ilp_tested': 4361, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 14400, 'dup': 2, 'tau1': 9954, 'tau2': 4207, 'tau3': 214, 'disconnected': 20, 'tau4': 5} t=8766s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 66, 'ilp_tested': 4427, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 14600, 'dup': 2, 'tau1': 10087, 'tau2': 4272, 'tau3': 216, 'disconnected': 20, 'tau4': 5} t=8868s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 67, 'ilp_tested': 4484, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 14800, 'dup': 2, 'tau1': 10229, 'tau2': 4326, 'tau3': 220, 'disconnected': 20, 'tau4': 5} t=8979s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 67, 'ilp_tested': 4541, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 15000, 'dup': 2, 'tau1': 10372, 'tau2': 4380, 'tau3': 223, 'disconnected': 20, 'tau4': 5} t=9101s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 68, 'ilp_tested': 4598, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 15200, 'dup': 2, 'tau1': 10514, 'tau2': 4437, 'tau3': 224, 'disconnected': 20, 'tau4': 5} t=9216s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 68, 'ilp_tested': 4664, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 15400, 'dup': 2, 'tau1': 10648, 'tau2': 4498, 'tau3': 229, 'disconnected': 20, 'tau4': 5} t=9324s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 68, 'ilp_tested': 4718, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 15600, 'dup': 2, 'tau1': 10793, 'tau2': 4548, 'tau3': 233, 'disconnected': 21, 'tau4': 5} t=9436s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 68, 'ilp_tested': 4781, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 15800, 'dup': 2, 'tau1': 10929, 'tau2': 4607, 'tau3': 237, 'disconnected': 22, 'tau4': 5} t=9561s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 68, 'ilp_tested': 4829, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 16000, 'dup': 2, 'tau1': 11080, 'tau2': 4654, 'tau3': 238, 'disconnected': 23, 'tau4': 5} t=9665s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 70, 'ilp_tested': 4886, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 16200, 'dup': 2, 'tau1': 11221, 'tau2': 4709, 'tau3': 242, 'disconnected': 23, 'tau4': 5} t=9789s
