BOUNDARY I??Fvrs|? score=8.881784197e-14 w=2 m=20
BOUNDARY I??Fvr{~? score=4.97379915032e-14 w=2 m=22
BOUNDARY I??Fvz{~? score=1.7763568394e-14 w=2 m=23
BOUNDARY I??F~z{~? score=5.68434188608e-14 w=2 m=24
BOUNDARY I?ACKMF`w score=-1.11022302463e-15 w=6 m=15
BOUNDARY I?ABb`o{? score=3.5527136788e-14 w=2 m=14
BOUNDARY I?ABbbo{? score=6.39488462184e-14 w=2 m=15
BOUNDARY I?ABfbo{? score=-2.48689957516e-14 w=2 m=16
BOUNDARY I?ABrpw]? score=7.1054273576e-15 w=2 m=17
BOUNDARY I?ABrpw}? score=1.42108547152e-14 w=2 m=18
BOUNDARY I?ABrrw}? score=2.13162820728e-14 w=2 m=19
BOUNDARY I?ABvrw}? score=2.13162820728e-14 w=2 m=20
BOUNDARY I?BE@_o{? score=1.06581410364e-14 w=2 m=12
BOUNDARY I?BE@bo{? score=1.24344978758e-14 w=2 m=14
BOUNDARY I?BE@owM? score=3.5527136788e-15 w=2 m=13
BOUNDARY I?BE@owoW score=3.19744231092e-14 w=2 m=14
BOUNDARY I?BE@ow}? score=-3.5527136788e-15 w=2 m=15
BOUNDARY I?BE@rw}? score=2.13162820728e-14 w=2 m=17
BOUNDARY I?B@fbo{? score=2.13162820728e-14 w=2 m=16
BOUNDARY I?B@powN? score=0 w=2 m=15
BOUNDARY I?B@pow}? score=2.84217094304e-14 w=2 m=16
BOUNDARY I?B@po{N? score=3.5527136788e-14 w=2 m=16
BOUNDARY I?B@prw}? score=3.5527136788e-14 w=2 m=18
BOUNDARY I?B@vrw}? score=0 w=2 m=20
BOUNDARY I?BfFBw}? score=2.84217094304e-14 w=2 m=19
BOUNDARY I?BfFrw}? score=2.48689957516e-14 w=2 m=21
BOUNDARY I?Bvfbo}? score=4.26325641456e-14 w=2 m=21
BOUNDARY I?Bvfbw}? score=7.81597009336e-14 w=2 m=22
BOUNDARY I?Bvfrw}? score=3.90798504668e-14 w=2 m=23
BOUNDARY I?Bvvrw}? score=4.97379915032e-14 w=2 m=24
BOUNDARY I?B~vrw}? score=-2.48689957516e-14 w=2 m=25
BOUNDARY I?`CQIIPO score=7.1054273576e-15 w=4 m=12
BOUNDARY I?aJB@bWo score=8.43769498715e-15 w=3 m=15
BOUNDARY I?aK[]Nbw score=-2.6645352591e-15 w=7 m=21
BOUNDARY I?r@`bo{? score=1.42108547152e-14 w=2 m=16
BOUNDARY I?rE]ZNro score=3.5527136788e-14 w=4 m=24
BOUNDARY I?zfF^mz_ score=7.4162898045e-14 w=3 m=27
BOUNDARY ICe[{}^fw score=0 w=8 m=28
BOUNDARY IQhTQiiTO score=-1.7763568394e-15 w=5 m=20
BOUNDARY ITm||}~nw score=3.19744231092e-14 w=9 m=36
BOUNDARY I]~v~z~~o score=2.23820961764e-13 w=5 m=40
checked=12005168 violations=0 boundary(>-1e-06)=329 maxscore=2.23820961764e-13 maxg6=I]~v~z~~o
