[n=14 it=1 t=0s] min-decomp=5 (bound 6) m=57
[n=14 it=54800 t=4580s] cur=5 best=5 m=52 cache=41776
[n=14 it=55000 t=4591s] cur=5 best=5 m=50 cache=41925
[n=14 it=55200 t=4605s] cur=5 best=5 m=53 cache=42096
[n=14 it=55400 t=4615s] cur=5 best=5 m=55 cache=42247
[n=14 it=55600 t=4629s] cur=5 best=5 m=57 cache=42412
[n=14 it=55800 t=4641s] cur=5 best=5 m=51 cache=42573
[n=14 it=56000 t=4653s] cur=5 best=5 m=48 cache=42737
[n=14 it=56200 t=4666s] cur=5 best=5 m=59 cache=42889
[n=14 it=56400 t=4679s] cur=5 best=5 m=49 cache=43038
[n=14 it=56600 t=4692s] cur=5 best=5 m=55 cache=43188
[n=14 it=56800 t=4704s] cur=5 best=5 m=51 cache=43341
[n=14 it=57000 t=4717s] cur=5 best=5 m=55 cache=43499
[n=14 it=57200 t=4730s] cur=5 best=5 m=51 cache=43647
[n=14 it=57400 t=4742s] cur=5 best=5 m=55 cache=43800
[n=14 it=57600 t=4754s] cur=5 best=5 m=48 cache=43952
[n=14 it=57800 t=4767s] cur=5 best=5 m=56 cache=44113
[n=14 it=58000 t=4780s] cur=5 best=5 m=54 cache=44268
[n=14 it=58200 t=4791s] cur=5 best=5 m=53 cache=44416
[n=14 it=58400 t=4805s] cur=5 best=5 m=52 cache=44579
[n=14 it=58600 t=4816s] cur=5 best=5 m=52 cache=44728
[n=14 it=58800 t=4828s] cur=5 best=5 m=53 cache=44879
[n=14 it=59000 t=4839s] cur=5 best=5 m=53 cache=45022
[n=14 it=59200 t=4851s] cur=5 best=5 m=54 cache=45172
[n=14 it=59600 t=4878s] cur=5 best=5 m=55 cache=45491
[n=14 it=59800 t=4890s] cur=5 best=5 m=52 cache=45646
[n=14 it=60000 t=4903s] cur=5 best=5 m=51 cache=45793
[n=14 it=60200 t=4916s] cur=5 best=5 m=57 cache=45944
[n=14 it=60400 t=4929s] cur=5 best=5 m=48 cache=46101
[n=14 it=60600 t=4943s] cur=5 best=5 m=51 cache=46261
[n=14 it=61000 t=4968s] cur=5 best=5 m=52 cache=46561
[n=14 it=61200 t=4980s] cur=5 best=5 m=54 cache=46709
[n=14 it=61400 t=4994s] cur=5 best=5 m=55 cache=46864
[n=14 it=61800 t=5020s] cur=5 best=5 m=54 cache=47170
[n=14 it=62000 t=5033s] cur=5 best=5 m=57 cache=47315
[n=14 it=62200 t=5045s] cur=5 best=5 m=51 cache=47462
[n=14 it=62400 t=5059s] cur=5 best=5 m=48 cache=47613
[n=14 it=62600 t=5072s] cur=5 best=5 m=56 cache=47775
[n=14 it=62800 t=5086s] cur=5 best=5 m=55 cache=47927
[n=14 it=63000 t=5099s] cur=5 best=5 m=52 cache=48077
[n=14 it=63200 t=5112s] cur=5 best=5 m=53 cache=48237
[n=14 it=63400 t=5127s] cur=5 best=5 m=50 cache=48402
[n=14 it=63600 t=5141s] cur=5 best=5 m=52 cache=48557
[n=14 it=63800 t=5156s] cur=5 best=5 m=57 cache=48722
[n=14 it=64200 t=5183s] cur=5 best=5 m=51 cache=49020
[n=14 it=64400 t=5195s] cur=5 best=5 m=52 cache=49176
[n=14 it=64600 t=5208s] cur=5 best=5 m=47 cache=49330
