DONE n=15 resmod=['220', '400']: 3184120 graphs, 0 escalated, t=996s
DONE n=15 resmod=['222', '400']: 3124883 graphs, 0 escalated, t=951s
DONE n=15 resmod=['221', '400']: 3198509 graphs, 0 escalated, t=1013s
DONE n=15 resmod=['224', '400']: 2967695 graphs, 0 escalated, t=920s
DONE n=15 resmod=['225', '400']: 2691616 graphs, 0 escalated, t=835s
DONE n=15 resmod=['226', '400']: 2758834 graphs, 0 escalated, t=855s
DONE n=15 resmod=['223', '400']: 3581243 graphs, 0 escalated, t=1148s
DONE n=15 resmod=['227', '400']: 3495629 graphs, 0 escalated, t=1111s
DONE n=15 resmod=['229', '400']: 2578979 graphs, 0 escalated, t=785s
DONE n=15 resmod=['228', '400']: 3221146 graphs, 0 escalated, t=1000s
DONE n=15 resmod=['231', '400']: 3121990 graphs, 0 escalated, t=948s
DONE n=15 resmod=['230', '400']: 3166279 graphs, 0 escalated, t=1020s
DONE n=15 resmod=['233', '400']: 3000573 graphs, 0 escalated, t=941s
DONE n=15 resmod=['232', '400']: 4090834 graphs, 0 escalated, t=1302s
DONE n=15 resmod=['235', '400']: 2716914 graphs, 0 escalated, t=847s
DONE n=15 resmod=['234', '400']: 3446408 graphs, 0 escalated, t=1063s
DONE n=15 resmod=['236', '400']: 3168608 graphs, 0 escalated, t=1025s
DONE n=15 resmod=['238', '400']: 2869122 graphs, 0 escalated, t=896s
DONE n=15 resmod=['237', '400']: 3080866 graphs, 0 escalated, t=986s
DONE n=15 resmod=['239', '400']: 3716475 graphs, 0 escalated, t=1172s
DONE n=15 resmod=['240', '400']: 3624380 graphs, 0 escalated, t=1112s
DONE n=15 resmod=['242', '400']: 3302073 graphs, 0 escalated, t=1101s
DONE n=15 resmod=['241', '400']: 3866015 graphs, 0 escalated, t=1219s
DONE n=15 resmod=['243', '400']: 2963821 graphs, 0 escalated, t=927s
DONE n=15 resmod=['244', '400']: 2925760 graphs, 0 escalated, t=906s
DONE n=15 resmod=['245', '400']: 3277525 graphs, 0 escalated, t=1045s
DONE n=15 resmod=['246', '400']: 2876487 graphs, 0 escalated, t=885s
DONE n=15 resmod=['247', '400']: 2757813 graphs, 0 escalated, t=855s
DONE n=15 resmod=['248', '400']: 3107135 graphs, 0 escalated, t=1007s
DONE n=15 resmod=['249', '400']: 3586521 graphs, 0 escalated, t=1097s
DONE n=15 resmod=['251', '400']: 3843539 graphs, 0 escalated, t=1197s
DONE n=15 resmod=['250', '400']: 4408593 graphs, 0 escalated, t=1399s
DONE n=15 resmod=['252', '400']: 3396617 graphs, 0 escalated, t=1065s
DONE n=15 resmod=['253', '400']: 3874064 graphs, 0 escalated, t=1236s
DONE n=15 resmod=['254', '400']: 3403837 graphs, 0 escalated, t=1049s
DONE n=15 resmod=['255', '400']: 3759593 graphs, 0 escalated, t=1173s
DONE n=15 resmod=['256', '400']: 3818690 graphs, 0 escalated, t=1202s
DONE n=15 resmod=['257', '400']: 3508979 graphs, 0 escalated, t=1109s
DONE n=15 resmod=['259', '400']: 3572320 graphs, 0 escalated, t=1103s
DONE n=15 resmod=['258', '400']: 3635325 graphs, 0 escalated, t=1125s
DONE n=15 resmod=['260', '400']: 3081111 graphs, 0 escalated, t=952s
DONE n=15 resmod=['261', '400']: 3378267 graphs, 0 escalated, t=1059s
DONE n=15 resmod=['262', '400']: 3959845 graphs, 0 escalated, t=1223s
DONE n=15 resmod=['264', '400']: 3199375 graphs, 0 escalated, t=1007s
DONE n=15 resmod=['263', '400']: 4102292 graphs, 0 escalated, t=1275s
DONE n=15 resmod=['266', '400']: 3283290 graphs, 0 escalated, t=1005s
DONE n=15 resmod=['265', '400']: 3625541 graphs, 0 escalated, t=1112s
DONE n=15 resmod=['267', '400']: 3436155 graphs, 0 escalated, t=1076s
DONE n=15 resmod=['268', '400']: 3759955 graphs, 0 escalated, t=1152s
DONE n=15 resmod=['270', '400']: 3432498 graphs, 0 escalated, t=1055s
DONE n=15 resmod=['269', '400']: 4006578 graphs, 0 escalated, t=1223s
DONE n=15 resmod=['272', '400']: 3330547 graphs, 0 escalated, t=1041s
DONE n=15 resmod=['271', '400']: 3395657 graphs, 0 escalated, t=1079s
DONE n=15 resmod=['273', '400']: 3364659 graphs, 0 escalated, t=1092s
DONE n=15 resmod=['274', '400']: 3821993 graphs, 0 escalated, t=1192s
DONE n=15 resmod=['275', '400']: 4098280 graphs, 0 escalated, t=1315s
DONE n=15 resmod=['276', '400']: 2973752 graphs, 0 escalated, t=938s
DONE n=15 resmod=['277', '400']: 3443189 graphs, 0 escalated, t=1086s
DONE n=15 resmod=['279', '400']: 3797169 graphs, 0 escalated, t=1174s
DONE n=15 resmod=['280', '400']: 3775580 graphs, 0 escalated, t=1176s
DONE n=15 resmod=['278', '400']: 4674380 graphs, 0 escalated, t=1498s
DONE n=15 resmod=['281', '400']: 3853631 graphs, 0 escalated, t=1201s
DONE n=15 resmod=['282', '400']: 3838455 graphs, 0 escalated, t=1229s
DONE n=15 resmod=['283', '400']: 3539912 graphs, 0 escalated, t=1135s
DONE n=15 resmod=['284', '400']: 3291826 graphs, 0 escalated, t=1031s
DONE n=15 resmod=['287', '400']: 2874056 graphs, 0 escalated, t=895s
DONE n=15 resmod=['285', '400']: 4086572 graphs, 0 escalated, t=1342s
DONE n=15 resmod=['286', '400']: 3885212 graphs, 0 escalated, t=1232s
DONE n=15 resmod=['288', '400']: 4022649 graphs, 0 escalated, t=1247s
DONE n=15 resmod=['290', '400']: 3142135 graphs, 0 escalated, t=982s
DONE n=15 resmod=['291', '400']: 3914830 graphs, 0 escalated, t=1251s
DONE n=15 resmod=['289', '400']: 4525356 graphs, 0 escalated, t=1424s
DONE n=15 resmod=['293', '400']: 3468878 graphs, 0 escalated, t=1122s
DONE n=15 resmod=['292', '400']: 4227849 graphs, 0 escalated, t=1382s
DONE n=15 resmod=['294', '400']: 3958497 graphs, 0 escalated, t=1230s
DONE n=15 resmod=['295', '400']: 3349815 graphs, 0 escalated, t=1051s
DONE n=15 resmod=['296', '400']: 4365886 graphs, 0 escalated, t=1400s
DONE n=15 resmod=['298', '400']: 3656112 graphs, 0 escalated, t=1149s
DONE n=15 resmod=['297', '400']: 3842968 graphs, 0 escalated, t=1203s
DONE n=15 resmod=['299', '400']: 3224432 graphs, 0 escalated, t=997s
DONE n=15 resmod=['301', '400']: 3324609 graphs, 0 escalated, t=1062s
DONE n=15 resmod=['300', '400']: 3689642 graphs, 0 escalated, t=1195s
DONE n=15 resmod=['302', '400']: 3890483 graphs, 0 escalated, t=1222s
DONE n=15 resmod=['304', '400']: 3768859 graphs, 0 escalated, t=1166s
DONE n=15 resmod=['303', '400']: 4136046 graphs, 0 escalated, t=1325s
DONE n=15 resmod=['306', '400']: 3825151 graphs, 0 escalated, t=1187s
DONE n=15 resmod=['305', '400']: 4376267 graphs, 0 escalated, t=1408s
DONE n=15 resmod=['309', '400']: 3232974 graphs, 0 escalated, t=1021s
DONE n=15 resmod=['307', '400']: 4250562 graphs, 0 escalated, t=1340s
DONE n=15 resmod=['308', '400']: 3917031 graphs, 0 escalated, t=1237s
DONE n=15 resmod=['311', '400']: 3279108 graphs, 0 escalated, t=1013s
DONE n=15 resmod=['310', '400']: 3623287 graphs, 0 escalated, t=1150s
DONE n=15 resmod=['313', '400']: 3326697 graphs, 0 escalated, t=1047s
DONE n=15 resmod=['312', '400']: 3689613 graphs, 0 escalated, t=1173s
DONE n=15 resmod=['314', '400']: 3101841 graphs, 0 escalated, t=1026s
DONE n=15 resmod=['316', '400']: 3434534 graphs, 0 escalated, t=1126s
DONE n=15 resmod=['315', '400']: 3628467 graphs, 0 escalated, t=1160s
DONE n=15 resmod=['317', '400']: 4381600 graphs, 0 escalated, t=1415s
DONE n=15 resmod=['318', '400']: 4114871 graphs, 0 escalated, t=1372s
DONE n=15 resmod=['320', '400']: 4049132 graphs, 0 escalated, t=1320s
DONE n=15 resmod=['319', '400']: 4441781 graphs, 0 escalated, t=1457s
DONE n=15 resmod=['321', '400']: 3982566 graphs, 0 escalated, t=1305s
DONE n=15 resmod=['322', '400']: 3906812 graphs, 0 escalated, t=1240s
DONE n=15 resmod=['323', '400']: 4284835 graphs, 0 escalated, t=1363s
DONE n=15 resmod=['324', '400']: 4061760 graphs, 0 escalated, t=1216s
DONE n=15 resmod=['325', '400']: 4431426 graphs, 0 escalated, t=1434s
DONE n=15 resmod=['326', '400']: 4139776 graphs, 0 escalated, t=1335s
DONE n=15 resmod=['327', '400']: 4003196 graphs, 0 escalated, t=1315s
DONE n=15 resmod=['329', '400']: 4027251 graphs, 0 escalated, t=1249s
DONE n=15 resmod=['328', '400']: 4542491 graphs, 0 escalated, t=1461s
DONE n=15 resmod=['330', '400']: 4570179 graphs, 0 escalated, t=1466s
DONE n=15 resmod=['331', '400']: 4318105 graphs, 0 escalated, t=1417s
DONE n=15 resmod=['333', '400']: 4138711 graphs, 0 escalated, t=1331s
DONE n=15 resmod=['334', '400']: 4074624 graphs, 0 escalated, t=1282s
DONE n=15 resmod=['332', '400']: 4481432 graphs, 0 escalated, t=1433s
DONE n=15 resmod=['336', '400']: 3791388 graphs, 0 escalated, t=1206s
DONE n=15 resmod=['335', '400']: 4733599 graphs, 0 escalated, t=1526s
DONE n=15 resmod=['337', '400']: 4500974 graphs, 0 escalated, t=1448s
DONE n=15 resmod=['338', '400']: 3937394 graphs, 0 escalated, t=1282s
DONE n=15 resmod=['341', '400']: 3945678 graphs, 0 escalated, t=1288s
DONE n=15 resmod=['340', '400']: 4592286 graphs, 0 escalated, t=1452s
DONE n=15 resmod=['339', '400']: 4509758 graphs, 0 escalated, t=1496s
DONE n=15 resmod=['342', '400']: 4457287 graphs, 0 escalated, t=1457s
DONE n=15 resmod=['343', '400']: 3873194 graphs, 0 escalated, t=1225s
DONE n=15 resmod=['344', '400']: 3794304 graphs, 0 escalated, t=1211s
DONE n=15 resmod=['345', '400']: 3800714 graphs, 0 escalated, t=1193s
DONE n=15 resmod=['346', '400']: 3943567 graphs, 0 escalated, t=1233s
DONE n=15 resmod=['350', '400']: 3362756 graphs, 0 escalated, t=1082s
DONE n=15 resmod=['349', '400']: 3604879 graphs, 0 escalated, t=1207s
DONE n=15 resmod=['347', '400']: 4367409 graphs, 0 escalated, t=1385s
DONE n=15 resmod=['351', '400']: 3575534 graphs, 0 escalated, t=1141s
DONE n=15 resmod=['348', '400']: 4550083 graphs, 0 escalated, t=1481s
DONE n=15 resmod=['352', '400']: 4031762 graphs, 0 escalated, t=1288s
DONE n=15 resmod=['353', '400']: 3716380 graphs, 0 escalated, t=1193s
DONE n=15 resmod=['354', '400']: 3617218 graphs, 0 escalated, t=1142s
DONE n=15 resmod=['355', '400']: 3692835 graphs, 0 escalated, t=1167s
DONE n=15 resmod=['358', '400']: 3241609 graphs, 0 escalated, t=1011s
DONE n=15 resmod=['357', '400']: 3389982 graphs, 0 escalated, t=1069s
DONE n=15 resmod=['356', '400']: 3694872 graphs, 0 escalated, t=1200s
DONE n=15 resmod=['359', '400']: 3706538 graphs, 0 escalated, t=1170s
DONE n=15 resmod=['361', '400']: 2979732 graphs, 0 escalated, t=928s
DONE n=15 resmod=['362', '400']: 2934908 graphs, 0 escalated, t=955s
DONE n=15 resmod=['360', '400']: 3735625 graphs, 0 escalated, t=1164s
