GRAPH 155 orientations=1538 profiles=1538 ss=908 tau_skip=112 safe=218 checks=300 packed=300 cand=0 deferred=0
GRAPH 156 orientations=1544 profiles=1544 ss=912 tau_skip=112 safe=218 checks=302 packed=302 cand=0 deferred=0
GRAPH 157 orientations=1550 profiles=1550 ss=918 tau_skip=112 safe=218 checks=302 packed=302 cand=0 deferred=0
GRAPH 158 orientations=1558 profiles=1558 ss=924 tau_skip=112 safe=218 checks=304 packed=304 cand=0 deferred=0
GRAPH 159 orientations=1570 profiles=1570 ss=924 tau_skip=124 safe=218 checks=304 packed=304 cand=0 deferred=0
GRAPH 160 orientations=1576 profiles=1576 ss=924 tau_skip=130 safe=218 checks=304 packed=304 cand=0 deferred=0
GRAPH 161 orientations=1582 profiles=1582 ss=930 tau_skip=130 safe=218 checks=304 packed=304 cand=0 deferred=0
GRAPH 162 orientations=1594 profiles=1594 ss=936 tau_skip=130 safe=222 checks=306 packed=306 cand=0 deferred=0
GRAPH 163 orientations=1602 profiles=1602 ss=938 tau_skip=130 safe=226 checks=308 packed=308 cand=0 deferred=0
GRAPH 164 orientations=1610 profiles=1610 ss=944 tau_skip=130 safe=226 checks=310 packed=310 cand=0 deferred=0
GRAPH 165 orientations=1616 profiles=1616 ss=944 tau_skip=136 safe=226 checks=310 packed=310 cand=0 deferred=0
GRAPH 166 orientations=1624 profiles=1624 ss=950 tau_skip=136 safe=226 checks=312 packed=312 cand=0 deferred=0
GRAPH 167 orientations=1636 profiles=1636 ss=956 tau_skip=142 safe=226 checks=312 packed=312 cand=0 deferred=0
GRAPH 168 orientations=1646 profiles=1646 ss=966 tau_skip=142 safe=226 checks=312 packed=312 cand=0 deferred=0
GRAPH 169 orientations=1654 profiles=1654 ss=970 tau_skip=142 safe=230 checks=312 packed=312 cand=0 deferred=0
GRAPH 170 orientations=1660 profiles=1660 ss=976 tau_skip=142 safe=230 checks=312 packed=312 cand=0 deferred=0
GRAPH 171 orientations=1676 profiles=1676 ss=988 tau_skip=142 safe=234 checks=312 packed=312 cand=0 deferred=0
GRAPH 172 orientations=1688 profiles=1688 ss=994 tau_skip=142 safe=234 checks=318 packed=318 cand=0 deferred=0
GRAPH 173 orientations=1690 profiles=1690 ss=996 tau_skip=142 safe=234 checks=318 packed=318 cand=0 deferred=0
GRAPH 174 orientations=1702 profiles=1702 ss=1002 tau_skip=142 safe=234 checks=324 packed=324 cand=0 deferred=0
GRAPH 175 orientations=1712 profiles=1712 ss=1012 tau_skip=142 safe=234 checks=324 packed=324 cand=0 deferred=0
GRAPH 176 orientations=1726 profiles=1726 ss=1016 tau_skip=142 safe=238 checks=330 packed=330 cand=0 deferred=0
GRAPH 177 orientations=1732 profiles=1732 ss=1020 tau_skip=142 safe=238 checks=332 packed=332 cand=0 deferred=0
GRAPH 178 orientations=1736 profiles=1736 ss=1024 tau_skip=142 safe=238 checks=332 packed=332 cand=0 deferred=0
GRAPH 179 orientations=1744 profiles=1744 ss=1030 tau_skip=142 safe=238 checks=334 packed=334 cand=0 deferred=0
GRAPH 180 orientations=1752 profiles=1752 ss=1038 tau_skip=142 safe=238 checks=334 packed=334 cand=0 deferred=0
