GRAPH 1179 orientations=50612568 profiles=284 ss=238 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1187 orientations=50934156 profiles=284 ss=238 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1195 orientations=51323628 profiles=284 ss=238 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1203 orientations=51724890 profiles=284 ss=238 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1211 orientations=52129422 profiles=290 ss=244 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1219 orientations=52476102 profiles=290 ss=244 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1227 orientations=52833654 profiles=290 ss=244 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1235 orientations=53192928 profiles=290 ss=244 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1243 orientations=53545470 profiles=290 ss=244 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1251 orientations=53937144 profiles=290 ss=244 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1259 orientations=54275544 profiles=290 ss=244 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1267 orientations=54637572 profiles=290 ss=244 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1275 orientations=54958086 profiles=290 ss=244 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1283 orientations=55294338 profiles=290 ss=244 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1291 orientations=55634172 profiles=294 ss=248 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1299 orientations=55980660 profiles=294 ss=248 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1307 orientations=56332668 profiles=294 ss=248 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1315 orientations=56708190 profiles=294 ss=248 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1323 orientations=57046308 profiles=296 ss=250 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1331 orientations=57372282 profiles=298 ss=252 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1339 orientations=57727434 profiles=298 ss=252 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1347 orientations=58068990 profiles=298 ss=252 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1355 orientations=58463568 profiles=302 ss=256 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1363 orientations=58835718 profiles=302 ss=256 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1371 orientations=59212932 profiles=302 ss=256 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1379 orientations=59589246 profiles=306 ss=260 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1387 orientations=59951838 profiles=306 ss=260 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1395 orientations=60327510 profiles=306 ss=260 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1403 orientations=60688356 profiles=306 ss=260 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1411 orientations=61033404 profiles=310 ss=264 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1419 orientations=61432116 profiles=318 ss=272 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1427 orientations=61810398 profiles=330 ss=284 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1435 orientations=62149218 profiles=334 ss=288 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1443 orientations=62505240 profiles=342 ss=296 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1451 orientations=62827044 profiles=342 ss=296 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1459 orientations=63187434 profiles=348 ss=302 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1467 orientations=63519090 profiles=348 ss=302 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1475 orientations=63831834 profiles=348 ss=302 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1483 orientations=64191696 profiles=352 ss=306 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1491 orientations=64536186 profiles=356 ss=310 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1499 orientations=64919238 profiles=364 ss=318 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1507 orientations=65282394 profiles=370 ss=324 tau_skip=4 safe=4 checks=38 packed=38 cand=0
