nohup: ignoring input
200 cubes, per-cube limit 30s, 4 jobs
cube 127: TIMEOUT   [128/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 128}]
cube 128: TIMEOUT   [129/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 129}]
cube 129: TIMEOUT   [130/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 130}]
cube 130: TIMEOUT   [131/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 131}]
cube 131: TIMEOUT   [132/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 132}]
cube 132: TIMEOUT   [133/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 133}]
cube 133: TIMEOUT   [134/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 134}]
cube 134: TIMEOUT   [135/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 135}]
cube 135: TIMEOUT   [136/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 136}]
cube 136: TIMEOUT   [137/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 137}]
cube 137: TIMEOUT   [138/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 138}]
cube 138: TIMEOUT   [139/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 139}]
cube 139: TIMEOUT   [140/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 140}]
cube 140: TIMEOUT   [141/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 141}]
cube 141: TIMEOUT   [142/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 142}]
cube 142: TIMEOUT   [143/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 143}]
cube 143: TIMEOUT   [144/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 144}]
cube 144: TIMEOUT   [145/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 145}]
cube 145: TIMEOUT   [146/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 146}]
cube 146: TIMEOUT   [147/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 147}]
cube 147: TIMEOUT   [148/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 148}]
cube 148: TIMEOUT   [149/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 149}]
cube 149: TIMEOUT   [150/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 150}]
